"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Пользователь","0","Создание пользователя","4","0","Ошибки при создании","0"
"0","Пользователь","0","Изменение данных пользователя","3","0","Неавторизованный пользователь","0"
"0","Пользователь","0","Изменение данных пользователя","3","0","Авторизованный пользователь","0"
"0","Заказы","0","Создание заказа","3","0","Авторизованный пользователь","0"
"0","Заказы","0","Получение заказов пользователя","1","0","Неавторизованный пользователь","0"
"0","Пользователь","0","Создание пользователя","1","0","Успешное создание","0"
"0","Пользователь","0","Логин пользователя","2","0","Ошибки при входе","0"
"0","Пользователь","0","Логин пользователя","1","0","Успешный вход","0"
"0","Заказы","0","Создание заказа","2","0","Неавторизованный пользователь","0"
"0","Пользователь","0","Изменение данных пользователя","1","0","Ошибки при изменении","0"
"0","Заказы","0","Получение заказов пользователя","1","0","Авторизованный пользователь","0"
